Dia,Accion,N Titulos,Precio,Comision,Total,Symbol
2025-12-31,DANHOS 13,17,28.15,1.19,478.55,MX
2025-12-30,FINN 13,4,5.68,0.05,22.72,MX
2025-12-30,DANHOS 13,40,28.15,2.81,1126,MX
2025-12-26,FINN 13,3,5.68,0.04,17.04,MX
2025-12-26,DANHOS 13,8,28.14,0.56,225.12,MX
2025-12-22,DANHOS 13,20,28.19,1.4,563.8,MX
2025-12-22,FMTY 14,38,15.14,1.43,575.32,MX
2025-12-22,FMTY 14,1,15.13,0.03,15.13,MX
2025-12-15,FMTY 14,37,15.71,1.45,581.27,MX
2025-12-15,DANHOS 13,20,28.02,1.4,560.4,MX
2025-12-03,FMTY 14,40,14.36,1.43,574.4,MX
2025-12-03,DANHOS 13,20,29.02,1.45,580.4,MX
2025-11-28,FMTY 14,59,14.35,2.11,846.65,MX
2025-11-28,DANHOS 13,19,29.21,1.38,554.99,MX
2025-11-19,FMTY 14,41,13.94,1.42,571.54,MX
2025-11-19,DANHOS 13,20,28.34,1.41,566.8,MX
2025-11-13,FMTY 14,40,14.27,1.42,570.8,MX
2025-11-13,DANHOS 13,20,30.07,1.5,601.4,MX
2025-11-13,DANHOS 13,49,30.07,3.68,1473.43,MX
2025-11-04,FMTY 14,42,14.11,1.48,592.62,MX
2025-11-04,FMTY 14,1,14.08,0.03,14.08,MX
2025-11-04,DANHOS 13,26,29.62,1.92,770.12,MX
2025-10-29,FMTY 14,26,14.12,0.91,367.12,MX
2025-10-29,FMTY 14,3,14.11,0.1,42.33,MX
2025-10-29,FIBRAMQ 12,12,29.65,0.88,355.8,MX
2025-10-29,DANHOS 13,13,28.84,0.93,374.92,MX
2025-10-20,FMTY 14,41,13.97,1.43,572.77,MX
2025-10-20,FINN 13,4,4.72,0.04,18.88,MX
2025-10-20,DANHOS 13,20,27.97,1.39,559.4,MX
2025-10-13,FMTY 14,41,13.86,1.42,568.26,MX
2025-10-13,DANHOS 13,20,29,1.45,580,MX
2025-10-06,FMTY 14,41,13.93,1.42,571.13,MX
2025-10-06,FMTY 14,1,13.94,0.03,13.94,MX
2025-10-06,DANHOS 13,20,28.08,1.4,561.6,MX
2025-10-01,FMTY 14,39,14.04,1.36,547.56,MX
2025-09-29,FMTY 14,40,14.04,1.4,561.6,MX
2025-09-29,FMTY 14,40,14.07,1.4,562.8,MX
2025-09-29,DANHOS 13,20,28.19,1.4,563.8,MX
2025-09-17,FMTY 14,41,14.05,1.44,576.05,MX
2025-09-17,FMTY 14,1,14.03,0.03,14.03,MX
2025-09-17,DANHOS 13,19,29.4,1.39,558.6,MX
2025-09-12,FMTY 14,40,14.11,1.41,564.4,MX
2025-09-12,DANHOS 13,20,27.93,1.39,558.6,MX
2025-09-12,DANHOS 13,1,27.93,0.06,27.93,MX
2025-09-04,FMTY 14,50,13.27,1.65,663.5,MX
2025-09-04,DANHOS 13,24,26.5,1.59,636,MX
2025-09-04,DANHOS 13,3,26.5,0.19,79.5,MX
2025-08-27,FMTY 14,20,13.22,0.66,264.4,MX
2025-08-27,FIBRAMQ 12,10,31.29,0.78,312.9,MX
2025-08-27,DANHOS 13,22,26.12,1.43,574.64,MX
2025-08-20,FMTY 14,17,13.11,0.55,222.87,MX
2025-08-20,FIBRAMQ 12,14,31,1.08,434,MX
2025-08-20,FIBRAMQ 12,1,31,0.07,31,MX
2025-08-20,DANHOS 13,18,25.18,1.13,453.24,MX
2025-08-15,FINN 13,3,4.91,0.03,14.73,MX
2025-08-13,FMTY 14,1,13.48,0.03,13.48,MX
2025-08-13,FIBRAMQ 12,34,31.15,2.64,1059.1,MX
2025-08-12,FMTY 14,17,13.58,0.57,230.86,MX
2025-08-12,DANHOS 13,17,26.17,1.11,444.89,MX
2025-08-12,DANHOS 13,14,26.17,0.91,366.38,MX
2025-08-12,DANHOS 13,3,26.17,0.19,78.51,MX
2025-08-12,DANHOS 13,1,26.17,0.06,26.17,MX
2025-07-31,FIBRAMQ 12,7,30.54,0.53,213.78,MX
2025-07-30,FMTY 14,17,13.4,0.56,227.8,MX
2025-07-30,FIBRAMQ 12,25,30.18,1.88,754.5,MX
2025-07-30,DANHOS 13,18,25.17,1.13,453.06,MX
2025-07-25,FMTY 14,16,13.64,0.54,218.24,MX
2025-07-25,FIBRAMQ 12,15,30.97,1.16,464.55,MX
2025-07-25,FIBRAMQ 12,1,30.98,0.07,30.98,MX
2025-07-25,DANHOS 13,18,24.79,1.11,446.22,MX
