Fecha yyyy-mm-dd,Importe,Tipo,Accion,Moneda,Tipo Cambio
2025-06-30,342.13,Reembolso,FCFE18,MXN,
2025-12-31,336.8,Reembolso,FCFE18,MXN,
2025-12-31,215.99,Resultado,FCFE18,MXN,
2025-09-30,190.91,Reembolso,FCFE18,MXN,
2025-09-30,512.81,Resultado,FCFE18,MXN,
2025-06-30,252.45,Resultado,FCFE18,MXN,
2025-03-28,186.88,Reembolso,FCFE18,MXN,
2025-03-28,109.45,Resultado,FCFE18,MXN,
2024-12-30,283.51,Resultado,FCFE18,MXN,
2024-12-30,260.09,Reembolso,FCFE18,MXN,
2024-09-27,270.26,Resultado,FCFE18,MXN,
2024-09-27,180.58,Reembolso,FCFE18,MXN,
2024-06-27,174.67,Resultado,FCFE18,MXN,
2024-06-27,91.25,Reembolso,FCFE18,MXN,
2024-03-25,5.48,Reembolso,FCFE18,MXN,
2024-03-25,117.59,Reembolso,FCFE18,MXN,
2024-03-25,38.23,Resultado,FCFE18,MXN,
2023-12-27,121.47,Reembolso,FCFE18,MXN,
2023-09-27,70.29,Resultado,FCFE18,MXN,
2023-09-27,23.37,Reembolso,FCFE18,MXN,
2023-06-28,22.32,Resultado,FCFE18,MXN,
2023-06-28,25.72,Reembolso,FCFE18,MXN,
2023-03-29,6.9,Reembolso,FCFE18,MXN,
2025-12-26,177.21,Resultado,FMTY14,MXN,
2025-12-26,118.14,Reembolso,FMTY14,MXN,
2025-11-29,112.3,Reembolso,FMTY14,MXN,
2025-11-28,168.45,Resultado,FMTY14,MXN,
2025-10-31,162.2,Resultado,FMTY14,MXN,
2025-10-31,108.13,Reembolso,FMTY14,MXN,
2025-09-26,202.67,Reembolso,FMTY14,MXN,
2025-09-26,50.66,Resultado,FMTY14,MXN,
2025-08-29,194.01,Reembolso,FMTY14,MXN,
2025-08-29,48.5,Resultado,FMTY14,MXN,
2025-07-31,189.03,Reembolso,FMTY14,MXN,
2025-07-31,47.25,Resultado,FMTY14,MXN,
2025-07-04,238.56,Reembolso,FMTY14,MXN,
2025-05-30,229.64,Reembolso,FMTY14,MXN,
2025-04-29,225.07,Reembolso,FMTY14,MXN,
2025-03-11,109.88,Reembolso,FMTY14,MXN,
2025-03-11,80.41,Resultado,FMTY14,MXN,
2025-02-27,109.04,Reembolso,FMTY14,MXN,
2025-02-27,79.79,Resultado,FMTY14,MXN,
2025-01-30,118.22,Reembolso,FMTY14,MXN,
2025-01-30,67.38,Resultado,FMTY14,MXN,
2024-12-27,87.39,Reembolso,FMTY14,MXN,
2024-12-27,87.39,Resultado,FMTY14,MXN,
2024-11-29,85.69,Resultado,FMTY14,MXN,
2024-11-29,85.69,Reembolso,FMTY14,MXN,
2024-10-30,82.3,Reembolso,FMTY14,MXN,
2024-10-30,82.3,Resultado,FMTY14,MXN,
2024-09-27,153.67,Reembolso,FMTY14,MXN,
